Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Leverage,Margin,Placing Time,Closing Time,Order ID
FOREXCOM:EURUSD,Buy,Market,1100000,,,1.07985,Filled,,500:1,"2,375.67 USD",2024-02-21 19:58:29,2024-02-21 19:58:29,1184783667
FOREXCOM:EURUSD,Sell,Stop,1100000,,1.07943,,Cancelled,,,,2024-02-21 19:58:37,2024-02-21 21:02:25,1184783861
FOREXCOM:EURUSD,Sell,Limit,1100000,1.08069,,1.08069,Filled,,,,2024-02-21 19:58:44,2024-02-21 21:02:25,1184784000
FOREXCOM:EURUSD,Buy,Market,800000,,,1.08598,Filled,,500:1,"1,737.57 USD",2024-02-27 16:25:36,2024-02-27 16:25:37,1193563315
FOREXCOM:EURUSD,Sell,Stop,800000,,1.08529,1.08529,Filled,,,,2024-02-27 16:25:41,2024-02-27 17:32:21,1193563465
FOREXCOM:EURUSD,Sell,Limit,800000,1.08734,,,Cancelled,,,,2024-02-27 16:25:48,2024-02-27 17:32:21,1193563667
FOREXCOM:EURUSD,Buy,Market,650000,,,1.08548,Filled,,500:1,"1,411.12 USD",2024-02-27 19:31:48,2024-02-27 19:31:48,1193808080
FOREXCOM:EURUSD,Sell,Stop,650000,,1.08479,1.08478,Filled,,,,2024-02-27 19:32:00,2024-02-27 21:38:31,1193808279
FOREXCOM:EURUSD,Sell,Limit,650000,1.08686,,,Cancelled,,,,2024-02-27 19:32:10,2024-02-27 21:38:31,1193808460
BINANCE:BTCUSDT.P,Sell,Market,1,,,56700,Filled,,500:1,113.36 USD,2024-02-27 22:46:50,2024-02-27 22:46:50,1194190677
BINANCE:BTCUSDT.P,Buy,Stop,2,,57336.3,57335,Filled,,,,2024-02-27 22:47:22,2024-02-27 23:22:34,1194193272
BINANCE:BTCUSDT.P,Buy,Limit,2,55906.8,,,Cancelled,,,,2024-02-27 22:47:42,2024-02-27 23:22:34,1194194628
BINANCE:BTCUSDT.P,Sell,Market,1,,,57017,Filled,,500:1,114.00 USD,2024-02-27 22:54:41,2024-02-27 22:54:41,1194219876
FOREXCOM:EURUSD,Buy,Limit,600000,1.08039,,,Cancelled,,500:1,,2024-02-28 18:03:40,2024-02-28 18:54:34,1195700160
FOREXCOM:EURUSD,Sell,Stop,600000,,1.07966,,Cancelled,,,,2024-02-28 18:03:49,2024-02-28 18:54:34,1195700401
