Time,Text
2024-04-25 20:32:51,Order 1291816216 for symbol FOREXCOM:EURUSD has been executed at price 1.06978 for 1300000 shares
2024-04-25 20:32:51,Order 1291816215 successfully cancelled
2024-04-25 20:32:01,Order 1291816216 modification confirmed
2024-04-25 20:32:01,Order 1291816215 modification confirmed
2024-04-25 20:32:01,Modify position for symbol FOREXCOM:EURUSD with SL 1.07210 and TP 1.06979
2024-04-25 20:31:55,Order 1291816216 modification confirmed
2024-04-25 20:31:55,Order 1291816215 modification confirmed
2024-04-25 20:31:55,Modify position for symbol FOREXCOM:EURUSD with SL 1.07210 and TP 1.06970
2024-04-25 20:31:30,Order 1291816216 successfully placed
2024-04-25 20:31:30,Order 1291816215 successfully placed
2024-04-25 20:31:30,Modify position for symbol FOREXCOM:EURUSD with SL 1.07210 and TP 1.06382
2024-04-25 20:31:24,Order 1291815905 for symbol FOREXCOM:EURUSD has been executed at price 1.07132 for 1300000 shares
2024-04-25 20:31:24,Order 1291815905 successfully placed
2024-04-25 20:31:24,Call to place market order to sell 1300000 shares of symbol FOREXCOM:EURUSD 
2024-03-14 20:22:32,Order 1223821546 for symbol FOREXCOM:EURUSD has been executed at price 1.09360 for 1000000 shares
2024-03-14 20:22:32,Order 1223821875 successfully cancelled
2024-03-14 17:13:31,Order 1223821875 successfully placed
2024-03-14 17:13:31,Order 1223821546 modification confirmed
2024-03-14 17:13:31,Modify position for symbol FOREXCOM:EURUSD with SL 1.09360 and TP 1.09517
2024-03-14 17:13:16,Order 1223821546 successfully placed
2024-03-14 17:13:16,Modify position for symbol FOREXCOM:EURUSD with SL 1.09360
2024-03-14 17:12:58,Order 1223821081 for symbol FOREXCOM:EURUSD has been executed at price 1.09413 for 1000000 shares
2024-03-14 17:12:58,Order 1223821081 successfully placed
2024-03-14 17:12:58,Call to place market order to buy 1000000 shares of symbol FOREXCOM:EURUSD 
